index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
673,Müller Thurgau 2012,St. Michael-Eppan,Italy,3.2,54,"70,709",https://www.vivino.com/st-michael-eppan-muller-thurgau/w/10087?year=2012&price_id=36485666
674,Illivio 2021,Livio Felluga,Italy,4.2,54,"57,576",https://www.vivino.com/livio-felluga-illivio/w/15093?year=2021&price_id=36485664
675,Dry Riesling 2022,Amisfield,New Zealand,4.0,54,"26,793",https://www.vivino.com/amisfield-dry-riesling/w/86253?year=2022&price_id=32716137
676,Pinot Noir Blanc 2022,Akitu,New Zealand,4.0,54,"33,803",https://www.vivino.com/akitu-pinot-noir-blanc/w/9029144?year=2022&price_id=32222021
677,Reserva Sauvignon Blanc 2013,Casa Silva,Chile,3.5,52,"35,419",https://www.vivino.com/casa-silva-reserva-sauvignon-blanc/w/18306?year=2013&price_id=16698863
678,Tradition Pinot Blanc 2011,Michel Fonné,France,3.7,52,"35,419",https://www.vivino.com/michel-fonne-tradition-pinot-blanc/w/1991936?year=2011&price_id=14650531
679,Gravestone 2019,Man O' War,New Zealand,3.9,52,"24,731",https://www.vivino.com/man-o-war-gravestone/w/1125557?year=2019&price_id=32705940
680,Viognier 2021,Stonecroft,New Zealand,3.5,52,"25,144",https://www.vivino.com/stonecroft-viognier/w/3375731?year=2021&price_id=29410408
681,Moscato Sensuale 2018,Vigneti del Vulture,Italy,4.2,52,"31,252",https://www.vivino.com/vigneti-del-vulture-moscato-sensuale/w/2192739?year=2018&price_id=19011285
682,Kidnappers Vineyard Chardonnay 2022,Craggy Range,New Zealand,3.8,51,"27,205",https://www.vivino.com/craggy-range-kidnappers-vineyard-chardonnay/w/87011?year=2022&price_id=34540041
683,Hunting Hill Chardonnay 2022,Kumeu River,New Zealand,4.2,51,"79,983",https://www.vivino.com/kumeu-river-winery-hunting-hill-chardonnay/w/76129?year=2022&price_id=33564983
684,Pinot Grigio 2017,Protea,South Africa,3.1,51,"25,835",https://www.vivino.com/za-protea-pinot-grigio/w/4919232?year=2017&price_id=16865469
685,Moscato 2012,Chalk Hill,Australia,4.0,51,"39,586",https://www.vivino.com/chalk-hill-moscato/w/1118558?year=2012&price_id=2895270
686,Victoria Series Chardonnay 2007,Mitchelton,Australia,3.5,50,"37,919",https://www.vivino.com/mitchelton-preece-chardonnay/w/1227618?year=2007&price_id=14541216
687,Pur Mineral Riesling 2016,Fürst,Germany,4.0,50,"50,003",https://www.vivino.com/furst-franken-pur-mineral-riesling/w/1117563?year=2016&price_id=17623606
688,Pinot Blanc 2022,Hawkshead,New Zealand,4.0,50,"28,030",https://www.vivino.com/hawkshead-pinot-blanc/w/9049960?year=2022&price_id=31198176
